artwork_id,title,category,medium,date,height_cm,width_cm,image_url_template,collecting_institution,image_url_normalized
51eda160275b2483230002ec,"Garden Scene, detail of a wall painting from the dining room of the Villa of Livia",Painting,Wall painting,Late 1st century B.C.,,,https://d32dm0rphc51dk.cloudfront.net/lNJSXxOIjA-OtT-9FZ3NgA/{image_version}.jpg,"Museo Nazionale Romano, Rome",https://d32dm0rphc51dk.cloudfront.net/lNJSXxOIjA-OtT-9FZ3NgA/normalized.jpg
51eda1608b3b81e8ca001e12,"Fresco from the Sala di Grande Dipinto, Scenes in the Villa de Misteri, Pompeii",Painting,Wall painting,ca. 60-50 B.C.,,,https://d32dm0rphc51dk.cloudfront.net/a8BPRh71D9o-uuMYC7gDjA/{image_version}.jpg,"Pompeii, Italy",https://d32dm0rphc51dk.cloudfront.net/a8BPRh71D9o-uuMYC7gDjA/normalized.jpg
51fa733a8b3b813f67000208,Section of rock-wall painting,Painting,,ca. 5000-2000 B.C.,,,https://d32dm0rphc51dk.cloudfront.net/LlunZZm-6kAduOf5ykQjRQ/{image_version}.jpg,,https://d32dm0rphc51dk.cloudfront.net/LlunZZm-6kAduOf5ykQjRQ/normalized.jpg
51fad617275b241d97000123,"Tower of Babel, detail of painting in nave vault, Abbey Church of Saint-Savin-sur-Gartempe",Painting,,ca. 1115,,,https://d32dm0rphc51dk.cloudfront.net/RSxubeYnwsKvDblabWVn6Q/{image_version}.jpg,,https://d32dm0rphc51dk.cloudfront.net/RSxubeYnwsKvDblabWVn6Q/normalized.jpg
51fad61e275b24ff0c0000fc," Christ in Majesty, detail of apse",Painting,,1123,,,https://d32dm0rphc51dk.cloudfront.net/SsjGzx6fFhslYjG_tY4gmg/{image_version}.jpg,"Museu Nacional d'Art de Catalunya, Barcelona",https://d32dm0rphc51dk.cloudfront.net/SsjGzx6fFhslYjG_tY4gmg/normalized.jpg
520268a6139b2117240009cf,"Champmol Altarpiece, wings of the altarpiece for the Chartreuse de Champmol",Painting,Oil on wood panel,1393-1399,,,https://d32dm0rphc51dk.cloudfront.net/JM8W142UrmVMTd0LjfK-AA/{image_version}.jpg,"Musée des Beaux-Arts, Dijon",https://d32dm0rphc51dk.cloudfront.net/JM8W142UrmVMTd0LjfK-AA/normalized.jpg
52163ac1139b21d70600024b,The Triumph of the Name of Jesus and the Fall of the Damned,Painting,Fresco with stucco figures,1672-1685,,,https://d32dm0rphc51dk.cloudfront.net/GIIs71FCMKeSnWJajBnv-w/{image_version}.jpg,,https://d32dm0rphc51dk.cloudfront.net/GIIs71FCMKeSnWJajBnv-w/normalized.jpg
515b045a9562c86fb8000124,Cattle Market,Print,Transfer technique and roulette,1767,,,https://d32dm0rphc51dk.cloudfront.net/MyWtvKranZu70Y6vgUZ1hw/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/MyWtvKranZu70Y6vgUZ1hw/normalized.jpg
515b04669562c86fb8000139,Village Road with Draw Well,Print,Etching retouched with engraving,published 1559/1561,,,https://d32dm0rphc51dk.cloudfront.net/dt_43iap8OHlBvIhP6S_Qg/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/dt_43iap8OHlBvIhP6S_Qg/normalized.jpg
515b0474223afad71600013f,Plan of the Church of the Holy Nativity,Print,Etching and engraving on laid paper [restrike],1619,,,https://d32dm0rphc51dk.cloudfront.net/Cy82g2OEjT8J3qx37Aptcg/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/Cy82g2OEjT8J3qx37Aptcg/normalized.jpg
515b04bd38ad2d78ca000061,Paysage avec berger et moutons a Osny (Pontoise),Print,"Etching, aquatint, and drypoint",1883,,,https://d32dm0rphc51dk.cloudfront.net/WB7TeEoP72Y3KarvA2OyfQ/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/WB7TeEoP72Y3KarvA2OyfQ/normalized.jpg
515b04f09562c8fee2000131,"Victor Hugo, De Trois Quarts",Print,Drypoint,1884,,,https://d32dm0rphc51dk.cloudfront.net/ttNq8VLDeNAnfsIxY5ZilQ/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/ttNq8VLDeNAnfsIxY5ZilQ/normalized.jpg
515b04f205635113a50002e5,14 Juillet.  Illumination du Bois de Boulogne,Print,Wood engraving,,,,https://d32dm0rphc51dk.cloudfront.net/yatBEhfE8wDTzmaJP5vvkw/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/yatBEhfE8wDTzmaJP5vvkw/normalized.jpg
515b04f3223afa7ea80000c8,Swans at Stagnant Water,Print,Drypoint [reprinted by ambroise vollard],1888/1890,,,https://d32dm0rphc51dk.cloudfront.net/WourWOwi_viWWaHgj-iG2A/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/WourWOwi_viWWaHgj-iG2A/normalized.jpg
515b050f223afad716000162,View of a Farm Seen in a Storm (La ferme de Brieux (Effet d'orage)),Print,Drypoint and (etching?),,,,https://d32dm0rphc51dk.cloudfront.net/3UmSJ1p6lJzdkOQwDLLgLA/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/3UmSJ1p6lJzdkOQwDLLgLA/normalized.jpg
515b0511223afad716000169,The Marriage of Ferdinando and Christine of Lorraine,Print,Engraving on laid paper [restrike],ca. 1614,,,https://d32dm0rphc51dk.cloudfront.net/OWGDt7cjBWt-0fIrDohLOw/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/OWGDt7cjBWt-0fIrDohLOw/normalized.jpg
515b052e9562c86fb80001c3,Small Hill (Le coteau),Print,Etching? and drypoint,,,,https://d32dm0rphc51dk.cloudfront.net/TXCoP9oliFroDAW-bnModA/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/TXCoP9oliFroDAW-bnModA/normalized.jpg
515b056e9562c86fb80001e9,Y no hai remedio (And There's No Help for It),Print,"Etching, drypoint, burin, and burnisher",published 1863,,,https://d32dm0rphc51dk.cloudfront.net/XmtHbmcJHOvKPLTgQP94WQ/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/XmtHbmcJHOvKPLTgQP94WQ/normalized.jpg
515b057238ad2d78ca0000b0,"Three Tahitians (Study for ""La soeur de charite"")",Print,"Traced monotype in black, squared in pencil on wove paper",1899/1902,,,https://d32dm0rphc51dk.cloudfront.net/nrhq87oBWqC1lo-pbwr8kw/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/nrhq87oBWqC1lo-pbwr8kw/normalized.jpg
515b058338ad2d78ca0000b9,Etoiles filantes,Print,Lithograph in black on velin paper,1895,,,https://d32dm0rphc51dk.cloudfront.net/tdi-nT9S_yYY4Ad-Go4dRA/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/tdi-nT9S_yYY4Ad-Go4dRA/normalized.jpg
515b059038ad2dfc7700012b,Mimi as a Brunette,Print,Drypoint,ca. 1889,,,https://d32dm0rphc51dk.cloudfront.net/wKSpzFM1r-odDwG9NFPrig/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/wKSpzFM1r-odDwG9NFPrig/normalized.jpg
515b05c39562c8fee20001bb,The Mocking of Christ,Print,Drypoint,1909,,,https://d32dm0rphc51dk.cloudfront.net/E2FoxkAhMHOHV6SYLCN_Fw/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/E2FoxkAhMHOHV6SYLCN_Fw/normalized.jpg
515b05c805635113a5000336,Décadence du drame en 1866,Print,Lithograph on newsprint,1866,,,https://d32dm0rphc51dk.cloudfront.net/TGZ6dCLIVSbf1seiuop7tQ/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/TGZ6dCLIVSbf1seiuop7tQ/normalized.jpg
515b07a89562c8fee200022e,Stand of Trees (Bouquet d'arbres),Print,Etching? and drypoint,,,,https://d32dm0rphc51dk.cloudfront.net/rWKNPZ4gqhjgyNtlShmLMw/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/rWKNPZ4gqhjgyNtlShmLMw/normalized.jpg
515b07e238ad2d78ca00017d,The Crowning with Thorns,Print,"Woodcut, hand-colored in red, green, yellow, gray-blue, and gold",1440,,,https://d32dm0rphc51dk.cloudfront.net/7SoaMPWAMchLx79foFG3Sg/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/7SoaMPWAMchLx79foFG3Sg/normalized.jpg
515b07f938ad2dfc770001e3,Venus and a Satyr,Print,Etching with engraving on laid paper,1592,,,https://d32dm0rphc51dk.cloudfront.net/ifxTBT4VOaFKd67BvJkSZQ/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/ifxTBT4VOaFKd67BvJkSZQ/normalized.jpg
515b080505635113a50003b8,The Descent of the Holy Ghost,Print,"Woodcut, hand-colored in red lake, blue, green, gray, and gold",1480/1490,,,https://d32dm0rphc51dk.cloudfront.net/cjNdshlU1TfrlnSdtdynWQ/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/cjNdshlU1TfrlnSdtdynWQ/normalized.jpg
515b081438ad2d78ca000194,Saint John the Baptist and Saint Christopher,Print,"Woodcut, hand-colored in red lake, yellow, green, pink, gray, brown, and tan",1470/1480,,,https://d32dm0rphc51dk.cloudfront.net/CcvMtkFmwgxyDLz_mMFWmw/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/CcvMtkFmwgxyDLz_mMFWmw/normalized.jpg
515b081a056351dc3300036c,In the Wings of the Folies-Bergere:  Mrs. Lona Barrison with Her Manager and Husband,Print,Photomechanical process,1895,,,https://d32dm0rphc51dk.cloudfront.net/aVHFV9yEBm9rR0YhM4pi0w/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/aVHFV9yEBm9rR0YhM4pi0w/normalized.jpg
515b082e223afae9a500007a,The End - Verdun,Print,Drypoint,ca. 1916,,,https://d32dm0rphc51dk.cloudfront.net/QzhBuVTSaSqcI4k3fbZPnQ/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/QzhBuVTSaSqcI4k3fbZPnQ/normalized.jpg
515b082f9562c8fee2000267,"Irish and American Bar, rue Royale",Print,5-color lithograph [poster],1896,,,https://d32dm0rphc51dk.cloudfront.net/NJfim81FOsxfnWBQ0xCawg/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/NJfim81FOsxfnWBQ0xCawg/normalized.jpg
515b0848223afa7ea80001dd,The Descent of the Holy Ghost,Print,"Woodcut, hand-colored in tan, brown, orange-red, green, rose, red lake, blue, and gold",ca. 1450,,,https://d32dm0rphc51dk.cloudfront.net/3VzhfTWCstsJ6pg-XNGMHA/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/3VzhfTWCstsJ6pg-XNGMHA/normalized.jpg
515b088b223afa7ea8000202,The Caress,Print,Drypoint,ca. 1891,,,https://d32dm0rphc51dk.cloudfront.net/jeBsUJYWC34ixxPTtawyKg/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/jeBsUJYWC34ixxPTtawyKg/normalized.jpg
515b08a338ad2d78ca0001c9,Plan of All the Important Places in Bethlehem,Print,Etching and engraving on laid paper [restrike],1619,,,https://d32dm0rphc51dk.cloudfront.net/v9U8xphZmwW8i9mV7b2UWw/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/v9U8xphZmwW8i9mV7b2UWw/normalized.jpg
515b08a8223afa7ea8000209,Christ on the Cross with Angels,Print,"Woodcut, hand-colored in blue, yellow, orange, green, brown, carmine, and gold on vellum",ca. 1490,,,https://d32dm0rphc51dk.cloudfront.net/4l3ik8X9q1Pyz_bpaRtzig/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/4l3ik8X9q1Pyz_bpaRtzig/normalized.jpg
515b08d705635113a5000439,The Twelve Year Old Jesus in the Temple,Print,"Woodcut, hand-colored in dark blue, red, yellow, ochre, and brown-violet",ca. 1490/1500,,,https://d32dm0rphc51dk.cloudfront.net/dmn9AxuCmCvI5nr3Id_nHQ/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/dmn9AxuCmCvI5nr3Id_nHQ/normalized.jpg
515b08df056351dc330003c0,Emilienne d'Alençon,Print,Lithograph in black,1896,,,https://d32dm0rphc51dk.cloudfront.net/5Qn090ycm6EAYlCV3FTchA/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/5Qn090ycm6EAYlCV3FTchA/normalized.jpg
515b093805635113a500046d,Enicurus Maculatus (Spotted Forktail),Print,Hand-colored lithograph,,,,https://d32dm0rphc51dk.cloudfront.net/EUqC1jTMZrz3DvQyQbzS5w/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/EUqC1jTMZrz3DvQyQbzS5w/normalized.jpg
515b095438ad2d78ca000214,Hadleigh Castle (Small Plate),Print,Mezzotint [progress proof],in or after 1831,,,https://d32dm0rphc51dk.cloudfront.net/Y30kdt0d4AksV0BV6x6EBQ/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/Y30kdt0d4AksV0BV6x6EBQ/normalized.jpg
515b0962223afae9a5000128,Pierre Maugis,Print,Engraving and etching,,,,https://d32dm0rphc51dk.cloudfront.net/2AqnINGC9ZTeOM5VoyD2gg/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/2AqnINGC9ZTeOM5VoyD2gg/normalized.jpg
515b09d8223afa7ea8000282,"Charles Henri, Comte d'Estaing",Print,Color aquatint,,,,https://d32dm0rphc51dk.cloudfront.net/r7s2RaF-xFnYxbDAIdl0OQ/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/r7s2RaF-xFnYxbDAIdl0OQ/normalized.jpg
515b0a4d9562c8fee2000353,Tree on a Mound,Print,Etching on chine applique,,,,https://d32dm0rphc51dk.cloudfront.net/AMcQnvGi-OqJuebpSW6zSA/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/AMcQnvGi-OqJuebpSW6zSA/normalized.jpg
515b0a699562c8fee200036c,Au Quartier Latin,Print,Color lithograph,1894,,,https://d32dm0rphc51dk.cloudfront.net/vfPyIL6_-1fnzVyMdU1-Hg/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/vfPyIL6_-1fnzVyMdU1-Hg/normalized.jpg
515b0a75223afae9a50001ac,Ce qui est bon a prendre est bon a garder,Print,Stipple engraving,,,,https://d32dm0rphc51dk.cloudfront.net/CankTpPdVUR45X6lrgXefQ/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/CankTpPdVUR45X6lrgXefQ/normalized.jpg
515b0a93223afae9a50001b3,The Adoration of the Shepherds: a Night Piece,Print,"Etching, drypoint and burin on japan paper",ca. 1652,,,https://d32dm0rphc51dk.cloudfront.net/5Jz2Tj2lTQztH1Xk3fwjBQ/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/5Jz2Tj2lTQztH1Xk3fwjBQ/normalized.jpg
515b0a959562c86fb800039f,Colin-maillard,Print,Color aquatint and etching,1789,,,https://d32dm0rphc51dk.cloudfront.net/EH4bTi8IevYhJHFna1fdQQ/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/EH4bTi8IevYhJHFna1fdQQ/normalized.jpg
515b0ac39562c86fb80003b4,"Adresse de Rochoux, Marchand d'estampes (The Address-Card of Rochoux, a Printseller)",Print,Etching in red and black,probably 1856,,,https://d32dm0rphc51dk.cloudfront.net/msr7YPxkc4eehq_J_JMGcg/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/msr7YPxkc4eehq_J_JMGcg/normalized.jpg
515b0acb05635113a5000535,Old Man with a Divided Fur Cap,Print,"Etching, with some drypoint",1640,,,https://d32dm0rphc51dk.cloudfront.net/aRASaClqcl_JhleydHj46Q/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/aRASaClqcl_JhleydHj46Q/normalized.jpg
515b0ad3056351dc330004f1,Pyrrhula Erythrocephala (Redheaded Bullfinch),Print,Hand-colored lithograph,,,,https://d32dm0rphc51dk.cloudfront.net/BVt-KL5QPSxvW__h6LfbvA/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/BVt-KL5QPSxvW__h6LfbvA/normalized.jpg
515b0b00223afae9a5000247,Christ and the Woman of Samaria,Print,"Metalcut, hand-colored in gray and rose",ca. 1470,,,https://d32dm0rphc51dk.cloudfront.net/XNFbNNbXtk4Q0mPJD7OSrQ/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/XNFbNNbXtk4Q0mPJD7OSrQ/normalized.jpg
515b0b1a38ad2d78ca000317,Statue d'homme d'etat,Print,Wood engraving,published 1886,,,https://d32dm0rphc51dk.cloudfront.net/pNVWlLDHau_z_oHsF1Ztuw/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/pNVWlLDHau_z_oHsF1Ztuw/normalized.jpg
515b0b2f9562c8fee2000419,Reading,Print,Lithograph in black on cream chine (japanese paper) mounted on ivory plate paper,1879,,,https://d32dm0rphc51dk.cloudfront.net/iEmgp0c9Qr0hmBUYOlLK_Q/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/iEmgp0c9Qr0hmBUYOlLK_Q/normalized.jpg
515b0b3838ad2d78ca00033e,Little Pond (La petite mare),Print,Etching and drypoint?,,,,https://d32dm0rphc51dk.cloudfront.net/tgIxpWW8twKdasQSaEl9ug/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/tgIxpWW8twKdasQSaEl9ug/normalized.jpg
515b0b5f056351dc33000596,Saint Agnes,Print,Hand-colored woodcut with manuscript inscriptions,ca. 1490,,,https://d32dm0rphc51dk.cloudfront.net/tSzIYNewTLXVfTqWZHLKAQ/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/tSzIYNewTLXVfTqWZHLKAQ/normalized.jpg
515b0bcb223afae9a50002be,Les saltimbanques,Print,Gillotype on china paper,1880,,,https://d32dm0rphc51dk.cloudfront.net/sClz7UbylNNPWsBY7J8XPA/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/sClz7UbylNNPWsBY7J8XPA/normalized.jpg
515b0be2056351dc330005f2,Abraham Francen,Print,"Etching, drypoint and burin",ca. 1657,,,https://d32dm0rphc51dk.cloudfront.net/-iPGv3Y7nG03ukr69PLFCA/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/-iPGv3Y7nG03ukr69PLFCA/normalized.jpg
515b0be4056351dc330005f9,Voila bien des oeufs de cassés...,Print,Lithograph on newsprint,1866,,,https://d32dm0rphc51dk.cloudfront.net/HXqQS5HP5nZ0DwEpbF_cqQ/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/HXqQS5HP5nZ0DwEpbF_cqQ/normalized.jpg
515b0bed223afa7ea80003a8,Comment on donne... le goût de la navigation,Print,Lithograph on newsprint,1846,,,https://d32dm0rphc51dk.cloudfront.net/y1EH-cMfKHBb8f0Tv0a0kQ/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/y1EH-cMfKHBb8f0Tv0a0kQ/normalized.jpg
515b0c0538ad2dfc77000413,Yo lo vi (I Saw It),Print,"Etching, drypoint, and burin",published 1863,,,https://d32dm0rphc51dk.cloudfront.net/jlLjM2hAscHgHPY-cAo4RQ/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/jlLjM2hAscHgHPY-cAo4RQ/normalized.jpg
515b0c209562c8fee2000486,The Pier with a Lamp,Print,"Etching, engraving, sulphur tint or open bite, burnishing [date should be read as ""published 1780s""]",1780s,,,https://d32dm0rphc51dk.cloudfront.net/xuqiqYeBRjElYnrQfFrb_g/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/xuqiqYeBRjElYnrQfFrb_g/normalized.jpg
515b0c4305635113a500066b,The Successful Fortune Hunter,Print,Hand-colored etching,1812,,,https://d32dm0rphc51dk.cloudfront.net/EVUyYyLwk6kEAGFF6x2dTA/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/EVUyYyLwk6kEAGFF6x2dTA/normalized.jpg
515b0c7e223afae9a5000313,Bust of a Balding Man,Print,Chiaroscuro woodcut with light brown tone block,,,,https://d32dm0rphc51dk.cloudfront.net/B1Ju3be22NMl8Ai43zBeOQ/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/B1Ju3be22NMl8Ai43zBeOQ/normalized.jpg
515b0ca5223afa7ea80003f8,It was pulled today (On la tire aujourd'hui),Print,Color stipple and etching,,,,https://d32dm0rphc51dk.cloudfront.net/2ZcMtxlLTynhwi_xZpabzA/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/2ZcMtxlLTynhwi_xZpabzA/normalized.jpg
515b0ca59562c86fb80004ee,New Mack'rel,Print,Color stipple engraving,1795,,,https://d32dm0rphc51dk.cloudfront.net/a2vZ5oloDglKVZlEfbKvKA/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/a2vZ5oloDglKVZlEfbKvKA/normalized.jpg
515b0cc89562c86fb8000508,Preparing to Run; Running; Striking,Print,Lithograph [proof before letters],published 1829,,,https://d32dm0rphc51dk.cloudfront.net/uLOfoNOWmNT7nf8cyPPQyQ/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/uLOfoNOWmNT7nf8cyPPQyQ/normalized.jpg
515b0cd538ad2d78ca000402,L'homme qui court apres la fortune et l'hommequi l'attend dans son lit (The Man who  Courts Fortune and the Man Who Sleeps in Bed),Print,Hand-colored etching,published 1756,,,https://d32dm0rphc51dk.cloudfront.net/FXGqQGVnXauu7sDfjFergw/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/FXGqQGVnXauu7sDfjFergw/normalized.jpg
515b0ce638ad2dfc770004a5,General Francois Severin Desgraviers Marceau,Print,Color aquatint,,,,https://d32dm0rphc51dk.cloudfront.net/z_ssCU98y8S6a-jsYxQrlg/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/z_ssCU98y8S6a-jsYxQrlg/normalized.jpg
